kind,treatment,depth,seed,n_params,init_loss,final_loss,test_acc,nan_loss,grad_w_ratio,grad_w_slope,grad_scale_mean,grad_anchor_mean,grad_alpha_mean,drift,circvar0,circvarD
local_cross,rezero_recenter,4,2,77644,NaN,0.22977997,0.746,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero_recenter,4,3,77644,NaN,0.2063531,0.7695,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero_recenter,8,1,153432,NaN,0.21706483,0.752,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero_recenter,8,2,153432,NaN,0.23046684,0.7465,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero_recenter,8,3,153432,NaN,0.25203142,0.7495,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero_recenter,16,1,305008,NaN,0.24407685,0.762,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero_recenter,16,2,305008,NaN,0.17818457,0.7295,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero_recenter,16,3,305008,NaN,0.203664,0.772,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,old,1,1,22913,NaN,0.2606557,0.7535,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,old,1,2,22913,NaN,0.25621933,0.746,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,old,1,3,22913,NaN,0.26553583,0.7685,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,old,2,1,43970,NaN,0.22098541,0.768,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,old,2,2,43970,NaN,0.2227509,0.777,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,old,2,3,43970,NaN,0.22608612,0.761,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,old,4,1,86084,NaN,0.9586984,0.1105,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,old,4,2,86084,NaN,0.97686243,0.1,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,old,4,3,86084,NaN,0.9055898,0.1015,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,old,8,1,170312,NaN,1.0071499,0.097,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,old,8,2,170312,NaN,0.96222985,0.095,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,old,8,3,170312,NaN,0.9573226,0.1055,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,old,16,1,338768,NaN,0.9490131,0.0965,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,old,16,2,338768,NaN,1.0127163,0.1065,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,old,16,3,338768,NaN,0.96568704,0.106,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,downscaled_ffn,1,1,22913,NaN,0.21294649,0.764,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,downscaled_ffn,1,2,22913,NaN,0.2500459,0.7525,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,downscaled_ffn,1,3,22913,NaN,0.27596328,0.778,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,downscaled_ffn,2,1,43970,NaN,0.17003037,0.7825,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,downscaled_ffn,2,2,43970,NaN,0.22478172,0.7695,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,downscaled_ffn,2,3,43970,NaN,0.23407382,0.76,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,downscaled_ffn,4,1,86084,NaN,0.29561913,0.707,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,downscaled_ffn,4,2,86084,NaN,0.33127373,0.744,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ssm_self,downscaled_ffn,4,3,86084,NaN,0.2495546,0.696,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
