gitrev,hid,depth,din,R_relax,ε,ω_p,n_cycles,cos_min,pass,reps
unknown,64,3,784,0.005167959,0.01,0.1,8,-0.1386113,false,8
unknown,64,3,784,0.005167959,0.01,0.1,16,-0.08480904,false,8
unknown,64,3,784,0.005167959,0.01,0.2,4,-0.17456663,false,8
unknown,64,3,784,0.005167959,0.01,0.2,8,-0.2447418,false,8
unknown,64,3,784,0.005167959,0.01,0.2,16,-0.31634983,false,8
unknown,64,3,784,0.005167959,0.03,0.02,4,0.74037,false,8
unknown,64,3,784,0.005167959,0.03,0.05,4,0.679508,false,8
unknown,64,3,784,0.005167959,0.03,0.05,8,-0.8559553,false,8
unknown,64,3,784,0.005167959,0.03,0.05,16,0.12529838,false,8
unknown,64,3,784,0.005167959,0.03,0.1,4,0.15901494,false,8
unknown,64,3,784,0.005167959,0.03,0.1,8,0.044522114,false,8
unknown,64,3,784,0.005167959,0.03,0.1,16,-0.17611176,false,8
unknown,64,3,784,0.005167959,0.03,0.2,4,-0.16988465,false,8
unknown,64,3,784,0.005167959,0.03,0.2,8,-0.21909536,false,8
unknown,64,3,784,0.005167959,0.03,0.2,16,-0.04279405,false,8
unknown,64,3,784,0.005167959,0.1,0.02,4,0.7886957,false,8
unknown,64,3,784,0.005167959,0.1,0.05,4,0.60258526,false,8
unknown,64,3,784,0.005167959,0.1,0.05,8,0.7458842,false,8
unknown,64,3,784,0.005167959,0.1,0.05,16,0.32100302,false,8
unknown,64,3,784,0.005167959,0.1,0.1,4,0.2275518,false,8
unknown,64,3,784,0.005167959,0.1,0.1,8,0.14138761,false,8
unknown,64,3,784,0.005167959,0.1,0.1,16,0.096191175,false,8
unknown,64,3,784,0.005167959,0.1,0.2,4,-0.42532095,false,8
unknown,64,3,784,0.005167959,0.1,0.2,8,-0.2759076,false,8
unknown,64,3,784,0.005167959,0.1,0.2,16,-0.083201975,false,8
unknown,64,3,784,0.005167959,0.3,0.02,4,0.16794142,false,8
unknown,64,3,784,0.005167959,0.3,0.05,4,0.50026804,false,8
unknown,64,3,784,0.005167959,0.3,0.05,8,0.75460535,false,8
unknown,64,3,784,0.005167959,0.3,0.05,16,0.20112798,false,8
unknown,64,3,784,0.005167959,0.3,0.1,4,0.5022449,false,8
unknown,64,3,784,0.005167959,0.3,0.1,8,0.18478322,false,8
unknown,64,3,784,0.005167959,0.3,0.1,16,0.258464,false,8
unknown,64,3,784,0.005167959,0.3,0.2,4,-0.46249017,false,8
unknown,64,3,784,0.005167959,0.3,0.2,8,-0.22701518,false,8
unknown,64,3,784,0.005167959,0.3,0.2,16,-0.056154754,false,8
unknown,64,4,784,0.007843138,0.01,0.02,4,0.4425139,false,8
unknown,64,4,784,0.007843138,0.01,0.05,4,-0.6311187,false,8
unknown,64,4,784,0.007843138,0.01,0.05,8,-0.79671884,false,8
unknown,64,4,784,0.007843138,0.01,0.05,16,-0.11187077,false,8
unknown,64,4,784,0.007843138,0.01,0.1,4,-0.1751519,false,8
unknown,64,4,784,0.007843138,0.01,0.1,8,-0.11837501,false,8
unknown,64,4,784,0.007843138,0.01,0.1,16,-0.13778986,false,8
unknown,64,4,784,0.007843138,0.01,0.2,4,-0.28179115,false,8
unknown,64,4,784,0.007843138,0.01,0.2,8,-0.30832627,false,8
unknown,64,4,784,0.007843138,0.01,0.2,16,-0.22774653,false,8
unknown,64,4,784,0.007843138,0.03,0.02,4,0.6909547,false,8
unknown,64,4,784,0.007843138,0.03,0.05,4,0.61529624,false,8
unknown,64,4,784,0.007843138,0.03,0.05,8,-0.63434666,false,8
unknown,64,4,784,0.007843138,0.03,0.05,16,-0.13500643,false,8
unknown,64,4,784,0.007843138,0.03,0.1,4,-0.17743893,false,8
unknown,64,4,784,0.007843138,0.03,0.1,8,-0.10815906,false,8
unknown,64,4,784,0.007843138,0.03,0.1,16,-0.15924513,false,8
unknown,64,4,784,0.007843138,0.03,0.2,4,-0.22196595,false,8
unknown,64,4,784,0.007843138,0.03,0.2,8,-0.22614828,false,8
unknown,64,4,784,0.007843138,0.03,0.2,16,-0.2596296,false,8
unknown,64,4,784,0.007843138,0.1,0.02,4,0.876753,false,8
unknown,64,4,784,0.007843138,0.1,0.05,4,0.49935064,false,8
unknown,64,4,784,0.007843138,0.1,0.05,8,-0.38998896,false,8
unknown,64,4,784,0.007843138,0.1,0.05,16,0.58484125,false,8
unknown,64,4,784,0.007843138,0.1,0.1,4,-0.18298656,false,8
unknown,64,4,784,0.007843138,0.1,0.1,8,-0.026154919,false,8
unknown,64,4,784,0.007843138,0.1,0.1,16,-0.3178457,false,8
unknown,64,4,784,0.007843138,0.1,0.2,4,-0.4295611,false,8
unknown,64,4,784,0.007843138,0.1,0.2,8,-0.4242041,false,8
unknown,64,4,784,0.007843138,0.1,0.2,16,-0.38761336,false,8
unknown,64,4,784,0.007843138,0.3,0.02,4,0.7291877,false,8
unknown,64,4,784,0.007843138,0.3,0.05,4,0.49281782,false,8
unknown,64,4,784,0.007843138,0.3,0.05,8,-0.252039,false,8
unknown,64,4,784,0.007843138,0.3,0.05,16,0.48050517,false,8
unknown,64,4,784,0.007843138,0.3,0.1,4,-0.13061686,false,8
unknown,64,4,784,0.007843138,0.3,0.1,8,-0.1444614,false,8
unknown,64,4,784,0.007843138,0.3,0.1,16,-0.32523307,false,8
unknown,64,4,784,0.007843138,0.3,0.2,4,-0.5669163,false,8
unknown,64,4,784,0.007843138,0.3,0.2,8,-0.7135251,false,8
unknown,64,4,784,0.007843138,0.3,0.2,16,-0.3225466,false,8
unknown,256,2,784,0.020408163,0.01,0.02,4,0.6598105,false,8
unknown,256,2,784,0.020408163,0.01,0.05,4,0.38335943,false,8
unknown,256,2,784,0.020408163,0.01,0.05,8,-0.17104463,false,8
unknown,256,2,784,0.020408163,0.01,0.05,16,0.3719089,false,8
unknown,256,2,784,0.020408163,0.01,0.1,4,-0.23749629,false,8
unknown,256,2,784,0.020408163,0.01,0.1,8,-0.062358867,false,8
unknown,256,2,784,0.020408163,0.01,0.1,16,-0.1212956,false,8
unknown,256,2,784,0.020408163,0.01,0.2,4,-0.045437984,false,8
unknown,256,2,784,0.020408163,0.01,0.2,8,-0.123916194,false,8
unknown,256,2,784,0.020408163,0.01,0.2,16,-0.20050229,false,8
unknown,256,2,784,0.020408163,0.03,0.02,4,0.86198634,false,8
unknown,256,2,784,0.020408163,0.03,0.05,4,0.7845727,false,8
unknown,256,2,784,0.020408163,0.03,0.05,8,0.7886251,false,8
unknown,256,2,784,0.020408163,0.03,0.05,16,0.7583251,false,8
unknown,256,2,784,0.020408163,0.03,0.1,4,0.45477065,false,8
unknown,256,2,784,0.020408163,0.03,0.1,8,-0.28481984,false,8
unknown,256,2,784,0.020408163,0.03,0.1,16,0.14944436,false,8
unknown,256,2,784,0.020408163,0.03,0.2,4,0.03201023,false,8
unknown,256,2,784,0.020408163,0.03,0.2,8,-0.087434724,false,8
unknown,256,2,784,0.020408163,0.03,0.2,16,-0.08035203,false,8
unknown,256,2,784,0.020408163,0.1,0.02,4,0.9416753,false,8
unknown,256,2,784,0.020408163,0.1,0.05,4,0.73235506,false,8
unknown,256,2,784,0.020408163,0.1,0.05,8,0.115248434,false,8
unknown,256,2,784,0.020408163,0.1,0.05,16,0.20935154,false,8
unknown,256,2,784,0.020408163,0.1,0.1,4,0.46428356,false,8
unknown,256,2,784,0.020408163,0.1,0.1,8,0.35996133,false,8
unknown,256,2,784,0.020408163,0.1,0.1,16,0.16915359,false,8
unknown,256,2,784,0.020408163,0.1,0.2,4,0.020626318,false,8
unknown,256,2,784,0.020408163,0.1,0.2,8,-0.13400242,false,8
unknown,256,2,784,0.020408163,0.1,0.2,16,-0.02108278,false,8
unknown,256,2,784,0.020408163,0.3,0.02,4,0.8888044,false,8
unknown,256,2,784,0.020408163,0.3,0.05,4,0.74211746,false,8
unknown,256,2,784,0.020408163,0.3,0.05,8,0.6955647,false,8
unknown,256,2,784,0.020408163,0.3,0.05,16,0.82870597,false,8
unknown,256,2,784,0.020408163,0.3,0.1,4,0.3323691,false,8
unknown,256,2,784,0.020408163,0.3,0.1,8,0.2961342,false,8
unknown,256,2,784,0.020408163,0.3,0.1,16,-0.3761316,false,8
unknown,256,2,784,0.020408163,0.3,0.2,4,0.003783991,false,8
unknown,256,2,784,0.020408163,0.3,0.2,8,-0.10394569,false,8
unknown,256,2,784,0.020408163,0.3,0.2,16,0.047083065,false,8
unknown,256,3,784,0.005249344,0.01,0.02,4,-0.21043018,false,8
unknown,256,3,784,0.005249344,0.01,0.05,4,0.32615417,false,8
unknown,256,3,784,0.005249344,0.01,0.05,8,-0.12746276,false,8
unknown,256,3,784,0.005249344,0.01,0.05,16,0.15496534,false,8
unknown,256,3,784,0.005249344,0.01,0.1,4,-0.057313737,false,8
unknown,256,3,784,0.005249344,0.01,0.1,8,-0.16885827,false,8
unknown,256,3,784,0.005249344,0.01,0.1,16,-0.08088704,false,8
unknown,256,3,784,0.005249344,0.01,0.2,4,-0.17802487,false,8
unknown,256,3,784,0.005249344,0.01,0.2,8,-0.1294772,false,8
unknown,256,3,784,0.005249344,0.01,0.2,16,-0.13842115,false,8
unknown,256,3,784,0.005249344,0.03,0.02,4,0.32865474,false,8
unknown,256,3,784,0.005249344,0.03,0.05,4,0.04684751,false,8
unknown,256,3,784,0.005249344,0.03,0.05,8,-0.5838373,false,8
unknown,256,3,784,0.005249344,0.03,0.05,16,0.3020003,false,8
unknown,256,3,784,0.005249344,0.03,0.1,4,-0.048654504,false,8
unknown,256,3,784,0.005249344,0.03,0.1,8,-0.42967883,false,8
unknown,256,3,784,0.005249344,0.03,0.1,16,-0.62154895,false,8
unknown,256,3,784,0.005249344,0.03,0.2,4,-0.12477067,false,8
unknown,256,3,784,0.005249344,0.03,0.2,8,-0.18959491,false,8
unknown,256,3,784,0.005249344,0.03,0.2,16,-0.43314984,false,8
unknown,256,3,784,0.005249344,0.1,0.02,4,0.5755484,false,8
unknown,256,3,784,0.005249344,0.1,0.05,4,0.18551147,false,8
unknown,256,3,784,0.005249344,0.1,0.05,8,0.14753011,false,8
unknown,256,3,784,0.005249344,0.1,0.05,16,-0.22601458,false,8
unknown,256,3,784,0.005249344,0.1,0.1,4,0.015130683,false,8
unknown,256,3,784,0.005249344,0.1,0.1,8,-0.44628555,false,8
unknown,256,3,784,0.005249344,0.1,0.1,16,0.06976488,false,8
unknown,256,3,784,0.005249344,0.1,0.2,4,-0.19079068,false,8
unknown,256,3,784,0.005249344,0.1,0.2,8,-0.4297908,false,8
unknown,256,3,784,0.005249344,0.1,0.2,16,-0.4226701,false,8
unknown,256,3,784,0.005249344,0.3,0.02,4,-0.4611434,false,8
unknown,256,3,784,0.005249344,0.3,0.05,4,0.23754284,false,8
unknown,256,3,784,0.005249344,0.3,0.05,8,0.34632632,false,8
unknown,256,3,784,0.005249344,0.3,0.05,16,0.44850472,false,8
unknown,256,3,784,0.005249344,0.3,0.1,4,0.043066517,false,8
unknown,256,3,784,0.005249344,0.3,0.1,8,0.10641732,false,8
unknown,256,3,784,0.005249344,0.3,0.1,16,-0.16923565,false,8
unknown,256,3,784,0.005249344,0.3,0.2,4,-0.5118549,false,8
unknown,256,3,784,0.005249344,0.3,0.2,8,-0.207137,false,8
unknown,256,3,784,0.005249344,0.3,0.2,16,-0.2409544,false,8
unknown,256,4,784,0.0055710305,0.01,0.02,4,-0.15652388,false,8
unknown,256,4,784,0.0055710305,0.01,0.05,4,0.04795167,false,8
unknown,256,4,784,0.0055710305,0.01,0.05,8,-0.12452993,false,8
unknown,256,4,784,0.0055710305,0.01,0.05,16,-0.2647018,false,8
