arm,depth,seed,block_index,alpha
rezero_warm,8,1,8,0.35294682
rezero_warm,8,2,1,0.12763956
rezero_warm,8,2,2,0.17940287
rezero_warm,8,2,3,0.24748601
rezero_warm,8,2,4,0.25783083
rezero_warm,8,2,5,0.18176764
rezero_warm,8,2,6,0.30711874
rezero_warm,8,2,7,0.32257044
rezero_warm,8,2,8,0.35822567
rezero_warm,8,3,1,0.20269771
rezero_warm,8,3,2,0.20403314
rezero_warm,8,3,3,0.18040246
rezero_warm,8,3,4,0.2870395
rezero_warm,8,3,5,0.20144416
rezero_warm,8,3,6,0.2946081
rezero_warm,8,3,7,0.33094162
rezero_warm,8,3,8,0.35418046
rezero_warm,20,1,1,0.037593607
rezero_warm,20,1,2,0.052480944
rezero_warm,20,1,3,0.05242078
rezero_warm,20,1,4,0.08189587
rezero_warm,20,1,5,0.08189642
rezero_warm,20,1,6,0.12193544
rezero_warm,20,1,7,0.099428505
rezero_warm,20,1,8,0.11211796
rezero_warm,20,1,9,0.10375132
rezero_warm,20,1,10,0.22443058
rezero_warm,20,1,11,0.15302561
rezero_warm,20,1,12,0.1410488
rezero_warm,20,1,13,0.17949502
rezero_warm,20,1,14,0.16607259
rezero_warm,20,1,15,0.1906561
rezero_warm,20,1,16,0.26020753
rezero_warm,20,1,17,0.3257102
rezero_warm,20,1,18,0.22750844
rezero_warm,20,1,19,0.31424043
rezero_warm,20,1,20,0.35017547
rezero_warm,20,2,1,0.08910345
rezero_warm,20,2,2,0.06995049
rezero_warm,20,2,3,0.1576392
rezero_warm,20,2,4,0.08530327
rezero_warm,20,2,5,0.118897736
rezero_warm,20,2,6,0.15563029
rezero_warm,20,2,7,0.13895147
rezero_warm,20,2,8,0.19658023
rezero_warm,20,2,9,0.22622694
rezero_warm,20,2,10,0.1478022
rezero_warm,20,2,11,0.20232354
rezero_warm,20,2,12,0.12883167
rezero_warm,20,2,13,0.13421887
rezero_warm,20,2,14,0.16378304
rezero_warm,20,2,15,0.16234867
rezero_warm,20,2,16,0.30665797
rezero_warm,20,2,17,0.29673347
rezero_warm,20,2,18,0.24413547
rezero_warm,20,2,19,0.25626966
rezero_warm,20,2,20,0.310917
rezero_warm,20,3,1,0.14699975
rezero_warm,20,3,2,0.103504
rezero_warm,20,3,3,0.095040366
rezero_warm,20,3,4,0.12275948
rezero_warm,20,3,5,0.15627836
rezero_warm,20,3,6,0.13595317
rezero_warm,20,3,7,0.12629995
rezero_warm,20,3,8,0.14990403
rezero_warm,20,3,9,0.18613113
rezero_warm,20,3,10,0.14545707
rezero_warm,20,3,11,0.17049523
rezero_warm,20,3,12,0.21307445
rezero_warm,20,3,13,0.22621493
rezero_warm,20,3,14,0.18439874
rezero_warm,20,3,15,0.19757581
rezero_warm,20,3,16,0.23969024
rezero_warm,20,3,17,0.2738437
rezero_warm,20,3,18,0.2410214
rezero_warm,20,3,19,0.24528629
rezero_warm,20,3,20,0.28686088
rezero_warm,50,1,1,0.08269566
rezero_warm,50,1,2,0.09578416
rezero_warm,50,1,3,0.07996984
rezero_warm,50,1,4,0.06337834
rezero_warm,50,1,5,0.09940884
rezero_warm,50,1,6,0.12596886
rezero_warm,50,1,7,0.10225766
rezero_warm,50,1,8,0.07484059
rezero_warm,50,1,9,0.10745145
rezero_warm,50,1,10,0.07915072
rezero_warm,50,1,11,0.061299976
rezero_warm,50,1,12,0.11436868
rezero_warm,50,1,13,0.07912404
rezero_warm,50,1,14,0.09884257
rezero_warm,50,1,15,0.11802389
rezero_warm,50,1,16,0.08712817
rezero_warm,50,1,17,0.08728713
rezero_warm,50,1,18,0.074494205
rezero_warm,50,1,19,0.079518005
rezero_warm,50,1,20,0.12434942
rezero_warm,50,1,21,0.122721925
rezero_warm,50,1,22,0.08296814
rezero_warm,50,1,23,0.1194977
rezero_warm,50,1,24,0.11386083
rezero_warm,50,1,25,0.12622644
rezero_warm,50,1,26,0.12363024
rezero_warm,50,1,27,0.1335249
rezero_warm,50,1,28,0.116089754
rezero_warm,50,1,29,0.088344716
rezero_warm,50,1,30,0.1423675
rezero_warm,50,1,31,0.09679385
rezero_warm,50,1,32,0.13064705
rezero_warm,50,1,33,0.11618317
rezero_warm,50,1,34,0.12242357
rezero_warm,50,1,35,0.1099465
rezero_warm,50,1,36,0.123679005
rezero_warm,50,1,37,0.120468296
rezero_warm,50,1,38,0.13363217
rezero_warm,50,1,39,0.14792398
rezero_warm,50,1,40,0.15936425
rezero_warm,50,1,41,0.15308125
rezero_warm,50,1,42,0.18106098
rezero_warm,50,1,43,0.1600126
rezero_warm,50,1,44,0.19704945
rezero_warm,50,1,45,0.16694734
rezero_warm,50,1,46,0.20281507
rezero_warm,50,1,47,0.19556971
rezero_warm,50,1,48,0.17193648
rezero_warm,50,1,49,0.2549082
rezero_warm,50,1,50,0.21351494
rezero_warm,50,2,1,0.075244986
rezero_warm,50,2,2,0.044757433
rezero_warm,50,2,3,0.053090464
rezero_warm,50,2,4,0.049890697
rezero_warm,50,2,5,0.033820927
rezero_warm,50,2,6,0.11325829
rezero_warm,50,2,7,0.060597528
rezero_warm,50,2,8,0.0477026
rezero_warm,50,2,9,0.04875894
rezero_warm,50,2,10,0.086876884
rezero_warm,50,2,11,0.09886917
rezero_warm,50,2,12,0.087048054
rezero_warm,50,2,13,0.07083934
rezero_warm,50,2,14,0.08520052
rezero_warm,50,2,15,0.054401644
rezero_warm,50,2,16,0.07757586
rezero_warm,50,2,17,0.12340753
rezero_warm,50,2,18,0.08313214
rezero_warm,50,2,19,0.12017324
rezero_warm,50,2,20,0.06084128
rezero_warm,50,2,21,0.112645224
rezero_warm,50,2,22,0.12299289
rezero_warm,50,2,23,0.051444843
rezero_warm,50,2,24,0.114594415
rezero_warm,50,2,25,0.09071309
rezero_warm,50,2,26,0.07509807
rezero_warm,50,2,27,0.17213319
rezero_warm,50,2,28,0.13535048
rezero_warm,50,2,29,0.11513823
rezero_warm,50,2,30,0.09601392
rezero_warm,50,2,31,0.11068811
rezero_warm,50,2,32,0.115481175
rezero_warm,50,2,33,0.08252819
rezero_warm,50,2,34,0.09071352
rezero_warm,50,2,35,0.122982115
rezero_warm,50,2,36,0.12005512
rezero_warm,50,2,37,0.19006796
rezero_warm,50,2,38,0.13968633
rezero_warm,50,2,39,0.14548491
rezero_warm,50,2,40,0.16428922
rezero_warm,50,2,41,0.14734992
rezero_warm,50,2,42,0.16449377
rezero_warm,50,2,43,0.1678556
rezero_warm,50,2,44,0.18195876
rezero_warm,50,2,45,0.16091172
rezero_warm,50,2,46,0.21211183
rezero_warm,50,2,47,0.19833946
rezero_warm,50,2,48,0.22470972
rezero_warm,50,2,49,0.2539283
rezero_warm,50,2,50,0.20610906
rezero_warm,50,3,1,0.07073637
rezero_warm,50,3,2,0.05289414
rezero_warm,50,3,3,0.07602476
rezero_warm,50,3,4,0.09316636
rezero_warm,50,3,5,0.090088874
rezero_warm,50,3,6,0.076488525
rezero_warm,50,3,7,0.08406544
rezero_warm,50,3,8,0.0871232
rezero_warm,50,3,9,0.05450064
rezero_warm,50,3,10,0.094709314
rezero_warm,50,3,11,0.06543872
rezero_warm,50,3,12,0.046761204
rezero_warm,50,3,13,0.10056034
rezero_warm,50,3,14,0.06849223
rezero_warm,50,3,15,0.08029284
rezero_warm,50,3,16,0.061288025
rezero_warm,50,3,17,0.093304954
rezero_warm,50,3,18,0.09347907
rezero_warm,50,3,19,0.11142399
rezero_warm,50,3,20,0.088993534
rezero_warm,50,3,21,0.08157566
rezero_warm,50,3,22,0.1294839
rezero_warm,50,3,23,0.10124269
rezero_warm,50,3,24,0.08632115
rezero_warm,50,3,25,0.09348664
rezero_warm,50,3,26,0.11001622
rezero_warm,50,3,27,0.12434825
rezero_warm,50,3,28,0.13948603
rezero_warm,50,3,29,0.13417917
rezero_warm,50,3,30,0.11475736
rezero_warm,50,3,31,0.08580145
rezero_warm,50,3,32,0.15071918
rezero_warm,50,3,33,0.1367781
rezero_warm,50,3,34,0.09695806
rezero_warm,50,3,35,0.13110027
rezero_warm,50,3,36,0.16500103
rezero_warm,50,3,37,0.103828095
rezero_warm,50,3,38,0.1422446
rezero_warm,50,3,39,0.16819969
rezero_warm,50,3,40,0.2005441
rezero_warm,50,3,41,0.15166925
rezero_warm,50,3,42,0.17332576
rezero_warm,50,3,43,0.1486353
rezero_warm,50,3,44,0.19504674
rezero_warm,50,3,45,0.19056118
rezero_warm,50,3,46,0.15933596
rezero_warm,50,3,47,0.18258375
rezero_warm,50,3,48,0.19547983
rezero_warm,50,3,49,0.15529855
rezero_warm,50,3,50,0.10581093
rezero_warm_g,2,1,1,0.3118331
rezero_warm_g,2,1,2,0.3573486
rezero_warm_g,2,2,1,0.30313787
rezero_warm_g,2,2,2,0.36954919
rezero_warm_g,2,3,1,0.31553286
rezero_warm_g,2,3,2,0.35233316
rezero_warm_g,8,1,1,0.18969718
rezero_warm_g,8,1,2,0.18259868
rezero_warm_g,8,1,3,0.222097
rezero_warm_g,8,1,4,0.22945625
rezero_warm_g,8,1,5,0.23638415
rezero_warm_g,8,1,6,0.2817426
rezero_warm_g,8,1,7,0.32222328
rezero_warm_g,8,1,8,0.35314113
rezero_warm_g,8,2,1,0.15377429
rezero_warm_g,8,2,2,0.18456607
rezero_warm_g,8,2,3,0.2087629
rezero_warm_g,8,2,4,0.19870155
rezero_warm_g,8,2,5,0.2319027
rezero_warm_g,8,2,6,0.3068889
rezero_warm_g,8,2,7,0.3469544
rezero_warm_g,8,2,8,0.3788215
rezero_warm_g,8,3,1,0.16481173
rezero_warm_g,8,3,2,0.21316421
rezero_warm_g,8,3,3,0.21189925
rezero_warm_g,8,3,4,0.23127538
rezero_warm_g,8,3,5,0.2778466
rezero_warm_g,8,3,6,0.3146635
rezero_warm_g,8,3,7,0.35344827
rezero_warm_g,8,3,8,0.3599107
rezero_warm_g,20,1,1,0.057603836
rezero_warm_g,20,1,2,0.065494336
rezero_warm_g,20,1,3,0.08939137
rezero_warm_g,20,1,4,0.1026255
rezero_warm_g,20,1,5,0.11675265
rezero_warm_g,20,1,6,0.15300222
rezero_warm_g,20,1,7,0.12587897
rezero_warm_g,20,1,8,0.16628723
rezero_warm_g,20,1,9,0.16906431
rezero_warm_g,20,1,10,0.17933437
rezero_warm_g,20,1,11,0.18690382
rezero_warm_g,20,1,12,0.22624977
rezero_warm_g,20,1,13,0.25258034
rezero_warm_g,20,1,14,0.21781181
rezero_warm_g,20,1,15,0.22782089
rezero_warm_g,20,1,16,0.23164694
rezero_warm_g,20,1,17,0.2641421
rezero_warm_g,20,1,18,0.28583065
rezero_warm_g,20,1,19,0.2784815
rezero_warm_g,20,1,20,0.3156731
rezero_warm_g,20,2,1,0.11077847
rezero_warm_g,20,2,2,0.12249932
rezero_warm_g,20,2,3,0.11484618
rezero_warm_g,20,2,4,0.11716735
rezero_warm_g,20,2,5,0.14025109
rezero_warm_g,20,2,6,0.12456015
rezero_warm_g,20,2,7,0.12756135
rezero_warm_g,20,2,8,0.16714218
rezero_warm_g,20,2,9,0.16899857
rezero_warm_g,20,2,10,0.18434396
rezero_warm_g,20,2,11,0.18388721
rezero_warm_g,20,2,12,0.17510998
rezero_warm_g,20,2,13,0.20178744
rezero_warm_g,20,2,14,0.23701833
rezero_warm_g,20,2,15,0.23682421
rezero_warm_g,20,2,16,0.2649049
rezero_warm_g,20,2,17,0.2404916
rezero_warm_g,20,2,18,0.27394626
rezero_warm_g,20,2,19,0.2784095
rezero_warm_g,20,2,20,0.301633
rezero_warm_g,20,3,1,0.06020483
rezero_warm_g,20,3,2,0.041302923
rezero_warm_g,20,3,3,0.08079915
rezero_warm_g,20,3,4,0.08522957
rezero_warm_g,20,3,5,0.0674355
rezero_warm_g,20,3,6,0.08295829
rezero_warm_g,20,3,7,0.11931745
rezero_warm_g,20,3,8,0.1189973
rezero_warm_g,20,3,9,0.1776882
rezero_warm_g,20,3,10,0.14770825
rezero_warm_g,20,3,11,0.19508559
rezero_warm_g,20,3,12,0.21730131
rezero_warm_g,20,3,13,0.24476688
rezero_warm_g,20,3,14,0.20800756
