eps,omega_p,n_cycles,readout,jitter,kmode,project,rep,cos,cos_l1,cos_l2,relerr_l1,resid,steps,cycles,gitrev
0.3,0.05,2,0.02,0.0,zero,hard,1,0.2422662639175073,0.2422662639175073,0.38515831190856564,4.065369306476878,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.03,0.02,2,0.02,1.0,zero,soft,5,-0.03289738446826805,-0.03289738446826805,0.12151235226758916,32.009051084185074,0.00077848433,2084,1042.0,5ef5c11-d91a027d8
0.3,0.05,2,0.02,4.0,zero,hard,7,0.07231764360867787,0.07231764360867787,0.1300921698275762,19.691000820746698,5.042856e-5,953,476.5,5ef5c11-d91a027d8
0.03,0.05,2,0.005,1.0,zero,hard,4,0.0718726451011903,0.0718726451011903,0.09391021632059669,13.909743618279931,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.3,0.05,8,0.005,0.0,zero,hard,1,0.39015918269139,0.39015918269139,0.6941491763716786,1.970063652510512,0.00032680426,2459,1229.5,5ef5c11-d91a027d8
0.003,0.05,2,0.0,0.0,zero,soft,7,0.46788042232068855,0.46788042232068855,0.9125353945372466,1.4852980554293838,0.000232274,953,476.5,5ef5c11-d91a027d8
0.003,0.02,2,0.005,0.25,zero,soft,2,-0.02397960786682701,0.02718170337720524,-0.02397960786682701,33.24985075951581,8.953138e-5,2084,1042.0,5ef5c11-d91a027d8
0.003,0.05,2,0.0,0.25,zero,hard,1,-0.03311755459265598,0.0031230577170266592,-0.03311755459265598,4311.044013459266,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.3,0.05,8,0.02,0.25,zero,hard,4,0.5649214551533401,0.5649214551533401,0.7113892917592003,1.1366566924638075,1.708457e-5,2459,1229.5,5ef5c11-d91a027d8
0.003,0.05,8,0.01,4.0,zero,hard,7,-0.021878810204499465,-0.021878810204499465,0.11503484274436519,517.0060791295247,5.042856e-5,2459,1229.5,5ef5c11-d91a027d8
0.03,0.05,2,0.0,0.0,zero,soft,7,0.9111919890562361,0.9111919890562361,0.9584580565474731,0.42193836874545154,0.000232274,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.005,1.0,zero,hard,4,0.49416912185794337,0.49416912185794337,0.6583486160368184,1.4309693168184776,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.0,0.0,zero,soft,7,0.9288904288918847,0.9288904288918847,0.9593243239075773,0.39262964984552207,0.000232274,953,476.5,5ef5c11-d91a027d8
0.03,0.05,2,0.0,0.25,zero,hard,1,-0.032640349723360856,0.0032737312215265,-0.032640349723360856,431.1062290036727,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.3,0.02,2,0.02,1.0,zero,soft,5,0.2053127659439563,0.2053127659439563,0.5564822551851669,3.2253362314677974,0.00077848433,2084,1042.0,5ef5c11-d91a027d8
0.003,0.05,2,0.01,1.0,zero,hard,4,0.008705324009585956,0.022205611902197848,0.008705324009585956,268.3239294004044,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.003,0.05,2,0.005,0.0,zero,soft,7,0.027843266116051785,0.12418847605966316,0.027843266116051785,20.398966275170125,0.000232274,953,476.5,5ef5c11-d91a027d8
0.3,0.02,8,0.02,0.0,zero,soft,2,0.22657669158982335,0.22657669158982335,0.3055275016067587,4.935395401946956,8.953138e-5,5852,2926.0,5ef5c11-d91a027d8
0.03,0.02,2,0.005,0.25,zero,soft,2,0.2539004807607861,0.2539004807607861,0.31028073714625654,3.387518389907554,8.953138e-5,2084,1042.0,5ef5c11-d91a027d8
0.003,0.02,8,0.01,1.0,zero,soft,5,0.01160449590284535,0.01160449590284535,0.032152148077068426,82.44578219006524,0.00077848433,5852,2926.0,5ef5c11-d91a027d8
0.003,0.05,8,0.01,0.0,zero,hard,1,0.015907257174971795,0.015907257174971795,0.026212382799356972,32.425785859848574,0.00032680426,2459,1229.5,5ef5c11-d91a027d8
0.3,0.05,2,0.0,0.25,zero,hard,1,-0.02787226747017202,0.00478073978161203,-0.02787226747017202,43.12074160863953,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.03,0.05,2,0.005,0.0,zero,soft,7,0.1295182580919735,0.13945567826838276,0.1295182580919735,5.388677300140046,0.000232274,953,476.5,5ef5c11-d91a027d8
0.03,0.05,2,0.01,1.0,zero,hard,4,0.04540284498598648,0.04540284498598648,0.05283333391633246,26.810879648445834,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.005,0.0,zero,soft,7,0.35003216253649405,0.35003216253649405,0.7829582139507972,1.6048929327949717,0.000232274,953,476.5,5ef5c11-d91a027d8
0.003,0.05,2,0.005,0.25,zero,hard,1,-0.06328872882709814,-0.029681024270498485,-0.06328872882709814,54.368551019711695,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.01,1.0,zero,hard,4,0.2866316142262097,0.2866316142262097,0.4450794967167186,2.7249185657960124,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.3,0.02,2,0.005,0.25,zero,soft,2,0.8754659030529587,0.8754659030529587,0.9303012387318111,0.5154207950043225,8.953138e-5,2084,1042.0,5ef5c11-d91a027d8
0.003,0.05,8,0.0,1.0,zero,hard,4,-0.0011063533624167678,0.00026487651821766853,-0.0011063533624167678,2134.9229064036235,1.708457e-5,2459,1229.5,5ef5c11-d91a027d8
0.003,0.05,2,0.01,0.0,zero,soft,7,0.010551203068519647,0.010551203068519647,0.4699948183988188,16.45880854839453,0.000232274,953,476.5,5ef5c11-d91a027d8
0.003,0.02,2,0.0,4.0,zero,soft,5,-0.0021861920868210803,0.0028872257382548607,-0.0021861920868210803,2524.030271476687,0.00077848433,2084,1042.0,5ef5c11-d91a027d8
0.03,0.05,2,0.005,0.25,zero,hard,1,0.11308739975632157,0.11308739975632157,0.24315285121991478,5.430433840595048,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.03,0.05,8,0.01,4.0,zero,hard,7,-0.007497593863559199,-0.007497593863559199,0.15148936361689697,51.70250698385218,5.042856e-5,2459,1229.5,5ef5c11-d91a027d8
0.003,0.05,2,0.02,1.0,zero,hard,4,-0.012332159914410425,0.026400860306991424,-0.012332159914410425,538.453051333884,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.03,0.05,2,0.01,0.0,zero,soft,7,0.03610226993522788,0.03610226993522788,0.28540130045425055,9.141022895709327,0.000232274,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.005,0.25,zero,hard,1,0.8023204479325083,0.8023204479325083,0.9338832317763952,0.6494625964916969,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.03,0.05,2,0.02,1.0,zero,hard,4,0.013125917954514291,0.037741336632936176,0.013125917954514291,53.83207251452497,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.01,0.0,zero,soft,7,0.34402203018268446,0.34402203018268446,0.5763115133216777,2.4622437537944237,0.000232274,953,476.5,5ef5c11-d91a027d8
0.03,0.05,8,0.01,0.0,zero,hard,1,0.11931973286607271,0.11931973286607271,0.25257844971065907,10.486462925336744,0.00032680426,2459,1229.5,5ef5c11-d91a027d8
0.003,0.02,2,0.01,0.25,zero,soft,2,0.007025148954674295,0.028817857868922832,0.007025148954674295,64.8705257921615,8.953138e-5,2084,1042.0,5ef5c11-d91a027d8
0.003,0.05,2,0.01,0.25,zero,hard,1,-0.08419416170125874,-0.004841854822119639,-0.08419416170125874,104.6316028907465,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.003,0.05,2,0.02,0.0,zero,soft,7,-0.016600600203952653,-0.016558110370081616,-0.016600600203952653,35.87823216055247,0.000232274,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.02,1.0,zero,hard,4,0.1572702075707653,0.1572702075707653,0.23717568512481396,5.388983542326663,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.03,0.05,2,0.01,0.25,zero,hard,1,0.06137492126928482,0.06600463756134861,0.06137492126928482,10.527108204926604,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.03,0.05,2,0.02,0.0,zero,soft,7,0.01373160400167267,0.05654304920424803,0.01373160400167267,11.283922102862064,0.000232274,953,476.5,5ef5c11-d91a027d8
0.3,0.05,8,0.01,4.0,zero,hard,7,0.12853732689349756,0.12853732689349756,0.4677184984875489,5.181305313616919,5.042856e-5,2459,1229.5,5ef5c11-d91a027d8
0.03,0.02,2,0.0,4.0,zero,soft,5,-0.002187309023278504,0.0028868582182997146,-0.002187309023278504,252.40244773065376,0.00077848433,2084,1042.0,5ef5c11-d91a027d8
0.003,0.05,2,0.0,4.0,zero,hard,4,-0.00032048883536192694,-0.00032048883536192694,0.000163738450165395,4292.565008593504,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.03,0.05,8,0.0,1.0,zero,hard,4,-0.0011098012418799287,0.00026416866811869287,-0.0011098012418799287,213.49376789748746,1.708457e-5,2459,1229.5,5ef5c11-d91a027d8
0.3,0.05,2,0.01,0.25,zero,hard,1,0.5973275515049677,0.5973275515049677,0.8461302672919933,1.1223079301372914,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.03,0.02,2,0.01,0.25,zero,soft,2,0.15593322484850453,0.15593322484850453,0.2193754796818564,6.525358769696308,8.953138e-5,2084,1042.0,5ef5c11-d91a027d8
0.3,0.05,2,0.02,0.0,zero,soft,7,0.17981357757326472,0.17981357757326472,0.3907961800233618,3.5979145616014288,0.000232274,953,476.5,5ef5c11-d91a027d8
0.3,0.05,8,0.01,0.0,zero,hard,1,0.20422654084806968,0.20422654084806968,0.6449199564337446,2.816263778438238,0.00032680426,2459,1229.5,5ef5c11-d91a027d8
0.03,0.05,2,0.0,4.0,zero,hard,4,-0.00031993427757271526,-0.00031993427757271526,0.0001474680440232001,429.2616888923309,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.003,0.05,2,0.02,0.25,zero,hard,1,-0.03706947670139946,-0.02346211381464796,-0.03706947670139946,204.59872406780747,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.003,0.05,2,0.0,0.25,zero,soft,7,-0.002401057474261099,0.008028704868379772,-0.002401057474261099,3635.5170715649915,0.000232274,953,476.5,5ef5c11-d91a027d8
0.03,0.02,8,0.01,1.0,zero,soft,5,0.10804438523657503,0.10804438523657503,0.2548794617288353,8.25372848691407,0.00077848433,5852,2926.0,5ef5c11-d91a027d8
0.03,0.05,2,0.02,0.25,zero,hard,1,0.015945306972949,0.015945306972949,0.04759337043167938,20.442728382929168,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.0,4.0,zero,hard,4,-0.0003145139397455291,-0.0003145139397455291,-1.9870232111359095e-5,42.93775183899925,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.03,0.05,2,0.0,0.25,zero,soft,7,-0.0018652036848151783,0.008190291239031339,-0.0018652036848151783,363.54682739900176,0.000232274,953,476.5,5ef5c11-d91a027d8
0.3,0.02,2,0.01,0.25,zero,soft,2,0.7799296127725093,0.7799296127725093,0.8564336595072791,0.7521319076990917,8.953138e-5,2084,1042.0,5ef5c11-d91a027d8
0.003,0.02,8,0.0,0.25,zero,soft,2,-0.010766799129428404,-0.010766799129428404,0.048743537949872594,1347.7436578239774,8.953138e-5,5852,2926.0,5ef5c11-d91a027d8
0.3,0.05,2,0.02,0.25,zero,hard,1,0.36186009734277075,0.36186009734277075,0.6781383188979297,2.1311637687796283,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.003,0.05,8,0.02,0.0,zero,hard,1,0.017475679843212723,0.017475679843212723,0.09375617236469243,13.069075733484732,0.00032680426,2459,1229.5,5ef5c11-d91a027d8
0.003,0.05,2,0.005,4.0,zero,hard,4,0.0005104263851787256,0.022883799134333603,0.0005104263851787256,521.389556002628,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.003,0.05,8,0.02,4.0,zero,hard,7,-0.025865061090415198,-0.025865061090415198,0.1178778223788507,992.6462828671154,5.042856e-5,2459,1229.5,5ef5c11-d91a027d8
0.3,0.02,2,0.0,4.0,zero,soft,5,-0.002200388708259482,0.002883172477687817,-0.002200388708259482,25.257853329961318,0.00077848433,2084,1042.0,5ef5c11-d91a027d8
0.3,0.05,2,0.0,0.25,zero,soft,7,0.0035092551466229228,0.00979861101558092,0.0035092551466229228,36.35961530862593,0.000232274,953,476.5,5ef5c11-d91a027d8
0.3,0.05,8,0.0,1.0,zero,hard,4,-0.0011425966319577538,0.00025690946063726096,-0.0011425966319577538,21.37242317643672,1.708457e-5,2459,1229.5,5ef5c11-d91a027d8
0.03,0.05,2,0.005,4.0,zero,hard,4,0.02274642731316838,0.03555143366097672,0.02274642731316838,52.12539481088417,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.003,0.05,2,0.0,1.0,zero,hard,1,-0.005122356771370721,-0.002798040323056529,-0.005122356771370721,4468.475337309356,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.003,0.05,2,0.005,0.25,zero,soft,7,0.066197145681359,0.066197145681359,0.12669476163866641,43.68732727176879,0.000232274,953,476.5,5ef5c11-d91a027d8
0.003,0.02,2,0.02,0.25,zero,soft,2,-0.02388591654404533,0.005930588952451269,-0.02388591654404533,136.12054075230003,8.953138e-5,2084,1042.0,5ef5c11-d91a027d8
0.3,0.05,2,0.005,4.0,zero,hard,4,0.16172257598619277,0.16172257598619277,0.25253328209724196,5.228064273039138,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.03,0.05,2,0.005,0.25,zero,soft,7,0.20765102204650498,0.20765102204650498,0.4926089065862068,4.40743642606697,0.000232274,953,476.5,5ef5c11-d91a027d8
0.003,0.02,2,0.005,4.0,zero,soft,5,-0.05117584751506948,-0.05117584751506948,0.0681653166935766,308.6938440899156,0.00077848433,2084,1042.0,5ef5c11-d91a027d8
0.03,0.05,2,0.0,1.0,zero,hard,1,-0.005136007873411275,-0.0027975173386299615,-0.005136007873411275,446.8515414647375,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.03,0.05,8,0.02,0.0,zero,hard,1,0.06623404834697308,0.06623404834697308,0.24783747486935717,14.52710404299905,0.00032680426,2459,1229.5,5ef5c11-d91a027d8
0.003,0.05,2,0.01,4.0,zero,hard,4,-0.0035529760459813175,0.019829935164976432,-0.0035529760459813175,1044.0346630079864,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.005,0.25,zero,soft,7,0.7907618760638462,0.7907618760638462,0.9376324923155889,0.636336243038005,0.000232274,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.0,1.0,zero,hard,1,-0.0052731955101436015,-0.002792245843606094,-0.0052731955101436015,44.69855116460439,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.03,0.02,2,0.02,0.25,zero,soft,2,0.06326533001328223,0.06326533001328223,0.07228715187990031,13.657300181954868,8.953138e-5,2084,1042.0,5ef5c11-d91a027d8
0.003,0.05,8,0.005,1.0,zero,hard,4,0.02560243872058569,0.02560243872058569,0.0721045530470555,73.74876557202964,1.708457e-5,2459,1229.5,5ef5c11-d91a027d8
