eps,omega_p,n_cycles,rep,cos,cos_l1,cos_l2,relerr_l1,steps
0.3,0.2,4,2,0.3961971241557227,0.3961971241557227,0.7435791208000824,1.000358316758983,515
0.3,0.05,1,3,0.9646768127928192,0.9646768127928192,0.973165608090789,0.28056144079989453,702
0.3,0.2,2,2,0.4483122089647065,0.4483122089647065,0.7493659360006022,0.9290411113772679,389
0.003,0.2,4,3,-0.06301121734473522,0.03868299634113387,-0.06301121734473522,65.57398145085935,515
0.01,0.1,8,8,0.04624773373024067,0.08824748755662273,0.04624773373024067,17.619879884017966,1334
0.003,0.2,2,3,-0.05408001937045717,0.040044992989978684,-0.05408001937045717,52.40816604265518,389
0.003,0.05,1,4,0.22236710329602977,0.22236710329602977,0.6320516579108741,3.1900500658937743,702
0.1,0.01,1,5,0.9978096387357015,0.9985127960010345,0.9978096387357015,0.06197649798261303,2714
0.01,0.2,4,3,0.02086559055267926,0.05132909473687469,0.02086559055267926,19.636391343635953,515
0.01,0.2,2,3,0.05102581870336474,0.05586626792337156,0.05102581870336474,15.690406831707174,389
0.03,0.2,2,3,0.10087968168102217,0.10087968168102217,0.32347553473103163,5.237147800114762,389
0.03,0.2,4,3,0.08738921886053141,0.08738921886053141,0.24949544910628135,6.5413885390667845,515
0.01,0.05,1,4,0.5984866570572386,0.5984866570572386,0.8225857744338277,1.041340683697124,702
0.1,0.2,2,3,0.24678242388039928,0.24678242388039928,0.686748288098581,1.703704561552684,389
0.01,0.01,2,8,0.9653728919965048,0.9822705302028065,0.9653728919965048,0.19749298645666977,3971
0.3,0.02,2,2,0.9867229075479649,0.9877309933107842,0.9867229075479649,0.16516113162737417,2084
0.03,0.1,8,8,0.12736687788302373,0.12736687788302373,0.25331260974494313,5.869534193140969,1334
0.1,0.2,4,3,0.20770077177149548,0.20770077177149548,0.6422712180404306,2.060374667649073,515
0.003,0.1,4,6,-0.001523790508152034,0.008238156770671566,-0.001523790508152034,37.381828584443454,830
0.3,0.2,2,3,0.4818113268530575,0.4818113268530575,0.768205533241814,0.9229796486260978,389
0.03,0.05,1,4,0.8494375985950595,0.8577278228219649,0.8494375985950595,0.5153497396128222,702
0.003,0.2,2,4,0.0195763629569675,0.0195763629569675,0.08752360391667775,50.945313230513506,389
0.3,0.2,4,3,0.4370498014800705,0.4370498014800705,0.7622547086742699,0.9941578132382467,515
0.1,0.05,1,4,0.8531578592675284,0.9168718906224763,0.8531578592675284,0.40709586849441676,702
0.01,0.2,2,4,0.03245335868286546,0.03245335868286546,0.18840083521699438,15.288239786074383,389
0.01,0.1,4,6,0.02773755857375243,0.02773755857375243,0.14376412770114375,11.231832801277436,830
0.003,0.2,4,4,0.01846603158075881,0.01846603158075881,0.07849673909130496,63.731909179258516,515
0.03,0.2,2,4,0.06899020177414616,0.06899020177414616,0.4057420806500759,5.14425221739547,389
0.1,0.1,8,8,0.25403214518603734,0.25403214518603734,0.5552098105482317,1.8681196750503752,1334
0.3,0.01,1,5,0.9978530214056244,0.9984817969997999,0.9978530214056244,0.06217885499763032,2714
0.01,0.2,4,4,0.028757660041842353,0.028757660041842353,0.1605089567345887,19.12005913186948,515
0.1,0.2,2,4,0.18732486638133317,0.18732486638133317,0.6285112586599215,1.7339717249831452,389
0.03,0.1,4,6,0.08274916625271035,0.08274916625271035,0.4593178808377712,3.8194001511805724,830
0.003,0.02,2,3,0.9579522019562615,0.9579522019562615,0.9913526829696182,0.2883014576985829,2084
0.03,0.2,4,4,0.05803999222263198,0.05803999222263198,0.35243057217501794,6.408481983284501,515
0.3,0.2,2,4,0.386410163929694,0.386410163929694,0.6777294553869521,0.9900205703498537,389
0.3,0.05,1,4,0.8516923048264454,0.9229848672356742,0.8516923048264454,0.3954634941669934,702
0.003,0.2,2,5,-0.002065838945342118,0.023584060050089242,-0.002065838945342118,48.47025305586398,389
0.1,0.2,4,4,0.15550666519643694,0.15550666519643694,0.6030187675847855,2.075546719980882,515
0.1,0.1,4,6,0.2478895282850725,0.2478895282850725,0.7190830945281279,1.400796137889978,830
0.3,0.1,8,8,0.47435209792604227,0.47435209792604227,0.6297060140819466,0.9463073598221912,1334
0.01,0.2,2,5,0.03717994631681919,0.03717994631681919,0.18471073522585119,14.52754324078839,389
0.3,0.2,4,4,0.3464982741925264,0.3464982741925264,0.6736721696263561,1.0585566252533396,515
0.03,0.2,2,5,0.07587304613571447,0.07587304613571447,0.5457202965479502,4.876539116609139,389
0.3,0.1,4,6,0.4433130520484228,0.4433130520484228,0.7588867951450482,0.9336054885251528,830
0.1,0.2,2,5,0.20120959747366285,0.20120959747366285,0.7927094935700564,1.6499232896359044,389
0.003,0.2,4,5,-0.025317187620932435,0.024061496767140284,-0.025317187620932435,60.69222575169391,515
0.03,0.01,2,8,0.9643916897714603,0.9852381530225858,0.9643916897714603,0.18595428140996229,3971
0.003,0.01,1,6,0.9278859033673961,0.9278859033673961,0.9434004777277489,0.37338727476366634,2714
0.01,0.02,2,3,0.9914142013368015,0.9914142013368015,0.9950204696115742,0.13568271487573183,2084
0.3,0.2,2,5,0.40148749470282585,0.40148749470282585,0.8327566370837932,0.970780659766988,389
0.01,0.2,4,5,0.034923271371279235,0.034923271371279235,0.12679062708453973,18.18710039045147,515
0.003,0.05,1,5,0.22649372121221797,0.22649372121221797,0.7960361149245394,3.056824615781929,702
0.003,0.05,4,1,0.4948243489755116,0.4948243489755116,0.9156289431741977,1.5480222371173715,1455
0.003,0.1,4,7,-0.028142338834158318,-0.028142338834158318,0.06245524781391021,42.47925992564772,830
0.003,0.2,2,6,-0.017576170486267254,0.0034204336762743725,-0.017576170486267254,42.63358457116713,389
0.03,0.2,4,5,0.06590354876074948,0.06590354876074948,0.4645490058206851,6.080317013815269,515
0.01,0.2,2,6,0.012418203448719745,0.012418203448719745,0.09860764327176419,12.811930430573389,389
0.03,0.2,2,6,0.037989732800756626,0.037989732800756626,0.36857740387529014,4.354108846175146,389
0.01,0.1,4,7,0.00746006869053879,0.00746006869053879,0.3039107262675877,12.742499357962433,830
0.1,0.2,4,5,0.16930687593177426,0.16930687593177426,0.772509331822205,1.968176072069041,515
0.1,0.2,2,6,0.12103225534992723,0.12103225534992723,0.6439796531125737,1.5819860792468987,389
0.3,0.2,4,5,0.36524435812397504,0.36524435812397504,0.8303686469946395,1.0290164296556576,515
0.01,0.05,4,1,0.8649781189709709,0.8649781189709709,0.9729448152821404,0.521628761340923,1455
0.3,0.2,2,6,0.25897614486634213,0.25897614486634213,0.6979753091229937,1.0360610758579885,389
0.03,0.02,2,3,0.9946789715933606,0.9946789715933606,0.9954545208176148,0.11072070861773343,2084
0.03,0.1,4,7,0.10888021535272728,0.10888021535272728,0.7013108768648435,4.261901053999156,830
0.003,0.01,4,3,0.8914637406302546,0.8914637406302546,0.9877880889062653,0.5071311546034593,6485
0.01,0.05,1,5,0.6190085448958498,0.6190085448958498,0.9301559152220628,0.9948073042845218,702
0.003,0.2,4,6,-0.02518804569853991,0.002899446763019256,-0.02518804569853991,53.31882249097308,515
0.003,0.2,2,7,-0.03647183871295249,-0.03647183871295249,0.03277837595208996,48.447406111188705,389
0.01,0.01,1,6,0.9456160249797505,0.9681857396565836,0.9456160249797505,0.2583372681375487,2714
0.01,0.2,2,7,-0.020379085414989038,-0.020379085414989038,0.2143047420291573,14.554252128087073,389
0.01,0.2,4,6,0.010083886293204086,0.010083886293204086,0.06821680887963509,16.010890309143818,515
0.03,0.05,1,5,0.8815270181151112,0.8815270181151112,0.9504560564376451,0.472331310348864,702
0.1,0.1,4,7,0.4189996524740606,0.4189996524740606,0.8988493867371283,1.3462878347072553,830
0.03,0.2,2,7,0.02574719626154402,0.02574719626154402,0.5628712747193153,4.908868140707346,389
0.003,0.01,8,6,0.7790944695279559,0.7790944695279559,0.9269568206120751,0.71597297468267,11513
0.03,0.2,4,6,0.030551223295393535,0.030551223295393535,0.30281405066411454,5.401880964838401,515
0.1,0.2,2,7,0.17970486231610053,0.17970486231610053,0.7908802893694783,1.6547572023610853,389
0.03,0.05,4,1,0.9613232275343748,0.9613232275343748,0.9801125072589717,0.281707063004181,1455
0.1,0.05,1,5,0.9424758444575659,0.9424758444575659,0.9540719068390521,0.35313634044053815,702
0.3,0.2,2,7,0.44953855176607355,0.44953855176607355,0.8216874974417594,0.9269993056145509,389
0.1,0.2,4,6,0.0988826231271437,0.0988826231271437,0.6153129260989004,1.8482027939381183,515
0.1,0.02,2,3,0.995110517697277,0.995110517697277,0.9955201388817029,0.1068638885573675,2084
0.003,0.2,2,8,-0.030397320056034634,0.07776464211692326,-0.030397320056034634,42.79450621105739,389
0.3,0.05,1,5,0.9505629121847765,0.9505629121847765,0.954838618739962,0.3355005803814982,702
