path,depth,use_bias,use_residual,seed,init_loss,final_loss,test_acc,grad_encoder,grad_last,grad_ratio,grad_min,grad_max,n_params
static,25,false,true,3,0.9860685,0.9514172,0.0985,9.6237704e7,0.23028933,4.178991e8,0.23028933,9.6237704e7,155808
static,25,true,true,1,1.0167534,0.97605854,0.0895,64891.3,0.20538077,315956.06,0.20538077,64891.3,159136
static,25,true,true,2,1.0013344,0.97786844,0.0935,48431.66,0.25448883,190309.58,0.24311565,48431.66,159136
static,25,true,true,3,1.0015259,1.0078098,0.0945,255174.44,0.15708935,1.6243904e6,0.15708935,255174.44,159136
static,30,false,false,1,0.9969649,0.88556147,0.1115,1.1598606e8,0.25447097,4.557929e8,0.25447097,1.1598606e8,176608
static,30,false,false,2,1.0044336,0.92614996,0.0965,1.9180814e8,0.18685827,1.02649e9,0.18685827,1.9180814e8,176608
static,30,false,false,3,1.003968,0.8548864,0.109,2.053165e7,0.26958868,7.615917e7,0.26958868,2.053165e7,176608
static,30,true,false,1,0.9750638,0.38820648,0.2135,18608.398,0.25484207,73019.336,0.25484207,18608.398,180576
static,30,true,false,2,1.0818566,0.48575187,0.1685,37478.82,0.20746654,180649.95,0.20746654,37478.82,180576
static,30,true,false,3,0.99552107,0.5395417,0.095,6091.63,0.2552816,23862.393,0.2552816,6091.63,180576
static,30,false,true,1,1.00225,0.9704275,0.095,2.0303923e10,0.21630676,9.386634e10,0.21630676,2.0303923e10,176608
static,30,false,true,2,0.99433935,1.0021361,0.094,2.4624187e10,0.32431287,7.592726e10,0.32431287,2.4624187e10,176608
static,30,false,true,3,1.0078406,0.97856665,0.109,6.872179e9,0.2494403,2.7550396e10,0.2494403,6.872179e9,176608
static,30,true,true,1,1.0093317,0.922034,0.103,598675.8,0.12800185,4.677087e6,0.12800185,598675.8,180576
static,30,true,true,2,0.9862852,0.95699215,0.097,584648.75,0.15499409,3.7720712e6,0.15499409,584648.75,180576
static,30,true,true,3,1.0101652,0.9954836,0.0965,492546.22,0.1479914,3.3282082e6,0.1479914,492546.22,180576
static,35,false,false,1,1.0016651,0.9485605,0.1105,2.7285627e10,0.2047841,1.3324095e11,0.2047841,2.7285627e10,197408
static,35,false,false,2,0.9952515,0.8032342,0.128,1.5704207e9,0.18998584,8.265988e9,0.18998584,1.5704207e9,197408
static,35,false,false,3,1.0052333,0.9024158,0.093,3.5723754e8,0.19055225,1.8747484e9,0.19055225,3.5723754e8,197408
static,35,true,false,1,0.97281146,0.53676593,0.1,39718.02,0.37830538,104989.305,0.37830538,39718.02,202016
static,35,true,false,2,0.94122267,0.4736265,0.1895,289509.94,0.3057583,946858.8,0.3041491,289509.94,202016
static,35,true,false,3,1.002379,0.5644784,0.1765,29831.502,0.23012939,129629.26,0.23012939,29831.502,202016
static,35,false,true,1,1.0268188,1.0210907,0.0975,7.33214e11,0.19137856,3.8312233e12,0.19137856,7.33214e11,197408
static,35,false,true,2,1.0105115,0.99702954,0.1115,4.3335913e11,0.21581118,2.0080477e12,0.21581118,4.3335913e11,197408
static,35,false,true,3,1.0013456,1.0200322,0.1025,5.0403977e11,0.21615036,2.331894e12,0.21615036,5.0403977e11,197408
static,35,true,true,1,1.01375,0.9434788,0.1105,5.4070185e6,0.12364972,4.3728516e7,0.12364972,5.4070185e6,202016
static,35,true,true,2,1.0024517,0.9378828,0.0985,8.937057e6,0.13165419,6.788282e7,0.13165419,8.937057e6,202016
static,35,true,true,3,1.0007536,1.002218,0.106,1.2691345e7,0.11590548,1.0949737e8,0.11590548,1.2691345e7,202016
static,40,false,false,1,0.9845914,0.96551526,0.113,1.8128226e12,0.20085974,9.025316e12,0.20085974,1.8128226e12,218208
static,40,false,false,2,1.0077882,0.8953056,0.107,1.2844132e10,0.22525272,5.7020985e10,0.22525272,1.2844132e10,218208
static,40,false,false,3,1.0043474,0.94079936,0.099,2.1023121e10,0.25248554,8.326465e10,0.25248554,2.1023121e10,218208
static,40,true,false,1,1.055344,0.5902108,0.094,115226.03,0.16420391,701725.25,0.14113677,115226.03,223456
static,40,true,false,2,0.9489696,0.575335,0.0975,785287.06,0.17180032,4.570929e6,0.17180032,785287.06,223456
static,40,true,false,3,0.96950334,0.5793635,0.1,318830.44,0.3081312,1.03472306e6,0.29697797,318830.44,223456
static,40,false,true,1,1.0106735,1.0108391,0.099,1.823226e13,0.3901247,4.673444e13,0.3901247,1.823226e13,218208
static,40,false,true,2,1.0138631,1.0666215,0.098,9.4164046e13,0.22610012,4.1647056e14,0.22610012,9.4164046e13,218208
static,40,false,true,3,0.979135,1.0544057,0.0865,2.6027003e13,0.19074006,1.3645273e14,0.19074006,2.6027003e13,218208
static,40,true,true,1,0.9911225,0.95424825,0.111,6.5947324e7,0.14195022,4.6458064e8,0.14195022,6.5947324e7,223456
static,40,true,true,2,0.99553794,0.9410502,0.108,5.9538504e7,0.15625742,3.8102832e8,0.15625742,5.9538504e7,223456
static,40,true,true,3,1.0065717,0.9780297,0.095,6.784386e7,0.114195086,5.941048e8,0.114195086,6.784386e7,223456
static,45,false,false,1,1.0029731,1.0165355,0.104,2.1675853e13,0.19597553,1.10604895e14,0.19597553,2.1675853e13,239008
static,45,false,false,2,1.0017116,0.98715687,0.094,2.5278089e11,0.20639847,1.2247226e12,0.20639847,2.5278089e11,239008
static,45,false,false,3,1.000906,0.96836233,0.0995,2.6372781e11,0.22398429,1.1774389e12,0.22398429,2.6372781e11,239008
static,45,true,false,1,1.0322602,0.5726839,0.095,407544.88,0.28635612,1.4232099e6,0.2477041,407544.88,244896
static,45,true,false,2,0.94920444,0.5073377,0.0975,2.1062738e6,0.44157618,4.769899e6,0.44000873,2.1062738e6,244896
static,45,true,false,3,0.9469694,0.5021975,0.0985,765235.25,0.19552286,3.9137892e6,0.19135821,765235.25,244896
static,45,false,true,1,1.0090351,1.0549114,0.089,1.2004977e15,0.203468,5.9001796e15,0.203468,1.2004977e15,239008
static,45,false,true,2,1.0050381,0.9634325,0.1005,4.8736792e14,0.22623388,2.1542658e15,0.22623388,4.8736792e14,239008
static,45,false,true,3,0.9888837,1.0393047,0.093,3.97884e14,0.23462132,1.6958562e15,0.23462132,3.97884e14,239008
static,45,true,true,1,0.9854514,0.9854257,0.1035,4.1563968e8,0.113943085,3.6477832e9,0.113943085,4.1563968e8,244896
static,45,true,true,2,0.97783744,0.954502,0.1095,8.251359e8,0.17083111,4.8301266e9,0.17083111,8.251359e8,244896
static,45,true,true,3,1.0018648,0.9963698,0.111,2.7847583e9,0.12003957,2.3198669e10,0.12003957,2.7847583e9,244896
static,50,false,false,1,0.98559034,0.9926113,0.1035,4.465048e15,0.21723518,2.0553983e16,0.21723518,4.465048e15,259808
static,50,false,false,2,0.9977536,0.96702325,0.113,6.671561e12,0.24329962,2.7421175e13,0.24329962,6.671561e12,259808
static,50,false,false,3,0.9888301,1.0217011,0.091,1.7909306e12,0.23101273,7.7525187e12,0.23101273,1.7909306e12,259808
static,50,true,false,1,1.0156423,0.5477527,0.095,4.295378e6,0.23931105,1.7948932e7,0.23931105,4.295378e6,266336
static,50,true,false,2,1.0009415,0.61291647,0.097,2.7576038e7,0.20131637,1.3697862e8,0.20131637,2.7576038e7,266336
static,50,true,false,3,0.9787227,0.58917785,0.095,9.843637e6,0.33434206,2.9441814e7,0.25371838,9.843637e6,266336
static,50,false,true,1,0.99276876,1.0252116,0.0865,7.455356e16,0.22709778,3.2828837e17,0.22709778,7.455356e16,259808
static,50,false,true,2,0.99339926,1.0579028,0.097,9.231586e16,0.18970571,4.866267e17,0.18970571,9.231586e16,259808
static,50,false,true,3,1.0087628,1.0033958,0.105,3.9514983e16,0.22599907,1.7484578e17,0.22599907,3.9514983e16,259808
static,50,true,true,1,1.0166368,0.9946863,0.1025,5.2651126e9,0.14089772,3.7368332e10,0.14089772,5.2651126e9,266336
static,50,true,true,2,1.0066912,0.9432584,0.101,5.2727967e9,0.12259322,4.301051e10,0.12259322,5.2727967e9,266336
static,50,true,true,3,1.0173899,1.0050375,0.087,5.4198036e9,0.12253923,4.4229132e10,0.12253923,5.4198036e9,266336
