path,depth,use_bias,use_residual,seed,layer_index,grad_norm
sequential,7,false,false,3,6,0.68401015
sequential,7,false,false,3,7,0.4627357
sequential,7,false,false,3,8,0.34907392
sequential,7,true,false,1,1,0.9969819
sequential,7,true,false,1,2,1.3868786
sequential,7,true,false,1,3,0.91016823
sequential,7,true,false,1,4,0.9681377
sequential,7,true,false,1,5,0.6134859
sequential,7,true,false,1,6,0.64819014
sequential,7,true,false,1,7,0.39672473
sequential,7,true,false,1,8,0.6034606
sequential,7,true,false,2,1,1.0901921
sequential,7,true,false,2,2,0.78171605
sequential,7,true,false,2,3,1.3393776
sequential,7,true,false,2,4,0.6486036
sequential,7,true,false,2,5,0.9773741
sequential,7,true,false,2,6,0.43546194
sequential,7,true,false,2,7,0.3888412
sequential,7,true,false,2,8,0.31928563
sequential,7,true,false,3,1,0.7759898
sequential,7,true,false,3,2,0.7261306
sequential,7,true,false,3,3,0.78569794
sequential,7,true,false,3,4,0.4308505
sequential,7,true,false,3,5,0.5124139
sequential,7,true,false,3,6,0.6239558
sequential,7,true,false,3,7,0.48753223
sequential,7,true,false,3,8,0.37910482
sequential,7,false,true,1,1,35.426216
sequential,7,false,true,1,2,14.94208
sequential,7,false,true,1,3,5.766307
sequential,7,false,true,1,4,15.407995
sequential,7,false,true,1,5,1.7714424
sequential,7,false,true,1,6,0.8156914
sequential,7,false,true,1,7,0.44289324
sequential,7,false,true,1,8,0.21667856
sequential,7,false,true,2,1,27.2978
sequential,7,false,true,2,2,14.2002535
sequential,7,false,true,2,3,8.228991
sequential,7,false,true,2,4,5.2503934
sequential,7,false,true,2,5,3.3022819
sequential,7,false,true,2,6,0.65507025
sequential,7,false,true,2,7,0.37826943
sequential,7,false,true,2,8,0.19988485
sequential,7,false,true,3,1,23.416838
sequential,7,false,true,3,2,17.151
sequential,7,false,true,3,3,5.4227066
sequential,7,false,true,3,4,2.8641052
sequential,7,false,true,3,5,1.4808297
sequential,7,false,true,3,6,0.7950272
sequential,7,false,true,3,7,0.35907704
sequential,7,false,true,3,8,0.17846794
sequential,7,true,true,1,1,2.1653762
sequential,7,true,true,1,2,3.6192856
sequential,7,true,true,1,3,1.352421
sequential,7,true,true,1,4,0.82616335
sequential,7,true,true,1,5,0.40930983
sequential,7,true,true,1,6,0.30026755
sequential,7,true,true,1,7,0.16750582
sequential,7,true,true,1,8,0.14811811
sequential,7,true,true,2,1,2.2247434
sequential,7,true,true,2,2,1.9444649
sequential,7,true,true,2,3,1.9608773
sequential,7,true,true,2,4,1.2239351
sequential,7,true,true,2,5,0.47402254
sequential,7,true,true,2,6,0.33665395
sequential,7,true,true,2,7,0.19651936
sequential,7,true,true,2,8,0.12678513
sequential,7,true,true,3,1,1.4605654
sequential,7,true,true,3,2,1.9987099
sequential,7,true,true,3,3,1.0960181
sequential,7,true,true,3,4,0.58595604
sequential,7,true,true,3,5,0.31535968
sequential,7,true,true,3,6,0.25058144
sequential,7,true,true,3,7,0.1739962
sequential,7,true,true,3,8,0.1345886
sequential,8,false,false,1,1,9.636225
sequential,8,false,false,1,2,8.457759
sequential,8,false,false,1,3,3.3032806
sequential,8,false,false,1,4,2.6155882
sequential,8,false,false,1,5,1.459905
sequential,8,false,false,1,6,1.360178
sequential,8,false,false,1,7,0.9790885
sequential,8,false,false,1,8,0.5411334
sequential,8,false,false,1,9,0.3284438
sequential,8,false,false,2,1,7.3611565
sequential,8,false,false,2,2,5.649586
sequential,8,false,false,2,3,2.5491204
sequential,8,false,false,2,4,1.6803417
sequential,8,false,false,2,5,4.0414877
sequential,8,false,false,2,6,1.1646564
sequential,8,false,false,2,7,0.89261967
sequential,8,false,false,2,8,0.49286252
sequential,8,false,false,2,9,0.3932048
sequential,8,false,false,3,1,8.060574
sequential,8,false,false,3,2,6.511227
sequential,8,false,false,3,3,5.424965
sequential,8,false,false,3,4,2.171786
sequential,8,false,false,3,5,1.357764
sequential,8,false,false,3,6,0.9253292
sequential,8,false,false,3,7,0.6706914
sequential,8,false,false,3,8,0.43759224
sequential,8,false,false,3,9,0.3246421
