draw,carrier,frame,sample_every,cos_l1,cos_l2,relerr_l1
3,lab_2pi,lab,628,0.07768509362329759,0.7614968339279459,4560.533
3,lab_1p7,co_rotating,1,0.999203168478786,0.9994890891682294,0.040059157
3,lab_1p7,co_rotating,628,0.2537677398367866,0.7615200590465303,15.381552
3,lab_1p7,lab,1,-0.12855964802015996,0.9994892120239649,1.1661704
3,lab_1p7,lab,628,-0.1253694379713458,0.7615235383677134,590.5894
6,co_rotating,co_rotating,1,0.9993732560467556,0.9994886824823521,0.03541871
6,co_rotating,co_rotating,628,0.3051828606028608,0.8781171162074678,5.76622
6,lab_2pi,co_rotating,1,0.9993732587189075,0.999488513449589,0.03541918
6,lab_2pi,co_rotating,628,0.3051793184761481,0.8781173347631868,5.766214
6,lab_2pi,lab,1,0.014046030555716902,0.999488513449589,1.204808
6,lab_2pi,lab,628,-0.014574083821012057,0.8781174894762351,2710.9521
6,lab_1p7,co_rotating,1,0.99937298695637,0.999488680772993,0.035421018
6,lab_1p7,co_rotating,628,0.305177324601688,0.8781198453016589,5.766249
6,lab_1p7,lab,1,0.028932362796365848,0.999488680772993,1.0072776
6,lab_1p7,lab,628,0.026428851209762134,0.8781198557766942,306.7095
4,co_rotating,co_rotating,1,0.9926844301543252,0.993438055946246,0.12578543
4,co_rotating,co_rotating,628,0.48068087105393176,0.9873083753607633,3.1742468
4,lab_2pi,co_rotating,1,0.9926843267854825,0.9934389501700879,0.12578651
4,lab_2pi,co_rotating,628,0.4806803271842296,0.9873081465756472,3.174249
4,lab_2pi,lab,1,0.022081979118345207,0.9934390146901964,1.0325729
4,lab_2pi,lab,628,-0.02321110175037524,0.9873079059796531,1104.8488
4,lab_1p7,co_rotating,1,0.9926848570438318,0.9934379706796576,0.12578233
4,lab_1p7,co_rotating,628,0.480677219288156,0.987308271092548,3.1742697
4,lab_1p7,lab,1,0.06924060233861137,0.9934379065821917,0.99784994
4,lab_1p7,lab,628,0.08176650808510887,0.98730827766631,145.79051
1,co_rotating,co_rotating,1,0.9995385887177061,0.9929909631553314,0.03038631
1,co_rotating,co_rotating,628,0.28623531067674374,0.9776556886894809,3.8749177
1,lab_2pi,co_rotating,1,0.9995386594155485,0.9929908757367237,0.030389125
1,lab_2pi,co_rotating,628,0.2862335706619044,0.9776567974126381,3.8748906
1,lab_2pi,lab,1,0.10386138427377996,0.9929908757367237,1.0113183
1,lab_2pi,lab,628,-0.10375182501725683,0.9776551357734465,1128.6918
1,lab_1p7,co_rotating,1,0.9995385869162857,0.9929905497304942,0.0303862
1,lab_1p7,co_rotating,628,0.2862247153879241,0.9776560159147916,3.874924
1,lab_1p7,lab,1,0.20914442552991466,0.9929905497304942,0.9820439
1,lab_1p7,lab,628,0.20736118593484776,0.9776556190755117,173.00835
5,co_rotating,co_rotating,1,0.9994480517270476,0.9902215382404302,0.034108482
5,co_rotating,co_rotating,628,-0.01012823344825546,-0.34875771015311235,10.302883
5,lab_2pi,co_rotating,1,0.9994481670155037,0.9902228096438321,0.03410545
5,lab_2pi,co_rotating,628,-0.010122394552779388,-0.34878799538283956,10.302865
5,lab_2pi,lab,1,0.08864235673121772,0.9902228096438321,1.230034
5,lab_2pi,lab,628,-0.08775194352163387,-0.34875325998492707,3180.7644
5,lab_1p7,co_rotating,1,0.9994479321632562,0.9902208461086753,0.034109317
5,lab_1p7,co_rotating,628,-0.010120572374348295,-0.34878349003307973,10.302861
5,lab_1p7,lab,1,0.19473065082160945,0.9902207532674315,0.9893841
5,lab_1p7,lab,628,0.2013564550195936,-0.3487758140468563,431.95007
7,co_rotating,co_rotating,1,0.9988381872422425,0.9988211803631437,0.050340015
7,co_rotating,co_rotating,628,0.44239712654473834,-0.05541173153708488,11.48442
7,lab_2pi,co_rotating,1,-0.23231978586210741,0.9988211735062459,1.2209878
7,lab_2pi,co_rotating,628,0.2260971181612644,-0.055405220942948176,1998.5187
7,lab_2pi,lab,1,-0.23231978586210741,0.9988211735062459,1.2209878
7,lab_2pi,lab,628,0.2260971181612644,-0.055405220942948176,1998.5187
7,lab_1p7,co_rotating,1,-0.3183527614002981,0.9988209772769883,1.1387194
7,lab_1p7,co_rotating,628,-0.24383614255992117,-0.05540823572876588,522.04047
7,lab_1p7,lab,1,-0.3183527614002981,0.9988209772769883,1.1387194
7,lab_1p7,lab,628,-0.24383614255992117,-0.05540823572876588,522.04047
2,co_rotating,co_rotating,1,0.9979678679563329,0.9947575861448442,0.06374989
2,co_rotating,co_rotating,628,0.7713312947332203,0.9514251627606433,1.9484081
2,lab_2pi,co_rotating,1,0.06676840473842333,0.994757301868182,1.0080869
2,lab_2pi,co_rotating,628,-0.0691478556793414,0.9514230173107736,830.2773
2,lab_2pi,lab,1,0.06676840473842333,0.994757301868182,1.0080869
2,lab_2pi,lab,628,-0.0691478556793414,0.9514230173107736,830.2773
2,lab_1p7,co_rotating,1,0.01678228202470002,0.9947576706994048,1.0004184
2,lab_1p7,co_rotating,628,0.01682682186111425,0.9514260929187648,79.047035
2,lab_1p7,lab,1,0.01678228202470002,0.9947576706994048,1.0004184
2,lab_1p7,lab,628,0.01682682186111425,0.9514260929187648,79.047035
1,co_rotating,co_rotating,1,0.9995385887177061,0.9929909631553314,0.03038631
1,co_rotating,co_rotating,628,0.28623531067674374,0.9776556886894809,3.8749177
1,lab_2pi,co_rotating,1,0.10386138427377996,0.9929908757367237,1.0113183
1,lab_2pi,co_rotating,628,-0.10375182501725683,0.9776551357734465,1128.6918
1,lab_2pi,lab,1,0.10386138427377996,0.9929908757367237,1.0113183
1,lab_2pi,lab,628,-0.10375182501725683,0.9776551357734465,1128.6918
1,lab_1p7,co_rotating,1,0.20914442552991466,0.9929905497304942,0.9820439
1,lab_1p7,co_rotating,628,0.20736118593484776,0.9776556190755117,173.00835
1,lab_1p7,lab,1,0.20914442552991466,0.9929905497304942,0.9820439
1,lab_1p7,lab,628,0.20736118593484776,0.9776556190755117,173.00835
4,co_rotating,co_rotating,1,0.9926844301543252,0.993438055946246,0.12578543
