eps,omega_p,n_cycles,readout,rep,cos,cos_l1,cos_l2,relerr_l1,resid,steps,cycles,gitrev
0.001,0.05,2,0.0,6,0.1141834236560419,0.1141834236560419,0.4927922044442498,4.091520995571147,0.000112622154,953,476.5,5ef5c11-dirty
0.3,0.1,2,0.02,2,0.21873231339548677,0.21873231339548677,0.2734054655047797,3.2785268898467104,9.048635e-6,578,289.0,5ef5c11-dirty
0.01,0.2,2,0.01,1,0.05834819957098765,0.08615194439135308,0.05834819957098765,22.278192604326048,0.00032680426,389,194.5,5ef5c11-dirty
0.03,0.05,8,0.0,1,0.7261451414474986,0.7261451414474986,0.9596743486195575,0.8364899738200972,0.00032680426,2459,1229.5,5ef5c11-dirty
0.01,0.005,2,0.02,5,0.018377065308303717,0.0256110648597496,0.018377065308303717,29.47294025978877,0.00036867431,7739,3869.5,5ef5c11-dirty
0.03,0.2,2,0.01,1,0.07363947950538209,0.07363947950538209,0.22680224459796675,9.529267519423167,0.00032680426,389,194.5,5ef5c11-dirty
0.003,0.05,2,0.0,6,0.30858088722581134,0.30858088722581134,0.7221993458712791,1.5446333748825756,0.000112622154,953,476.5,5ef5c11-dirty
0.0003,0.1,2,0.0,3,-0.08972645064259378,0.03521112887670388,-0.08972645064259378,328.3669155566109,3.956093e-5,578,289.0,5ef5c11-dirty
0.3,0.2,8,0.005,4,0.14113745762371485,0.14113745762371485,0.43229344089179417,1.8734261323173982,1.708457e-5,767,383.5,5ef5c11-dirty
0.1,0.01,2,0.01,2,0.12845979176530026,0.12845979176530026,0.21975575943114464,5.50508506324501,9.048635e-6,3971,1985.5,5ef5c11-dirty
0.1,0.2,2,0.01,1,0.05027295711690676,0.05027295711690676,0.2783150713555667,4.320858814724111,0.00032680426,389,194.5,5ef5c11-dirty
0.001,0.1,2,0.0,3,-0.06930484758738945,0.039796758570449405,-0.06930484758738945,98.47896123469803,3.956093e-5,578,289.0,5ef5c11-dirty
0.01,0.05,2,0.0,6,0.572685824709831,0.572685824709831,0.7917566318986836,0.8576399809983037,0.000112622154,953,476.5,5ef5c11-dirty
0.3,0.2,2,0.01,1,0.0506317215253107,0.0506317215253107,0.4395844854614048,2.621097092469872,0.00032680426,389,194.5,5ef5c11-dirty
0.003,0.1,2,0.0,3,-0.01038628132631942,0.05288276375134315,-0.01038628132631942,32.80123937701919,3.956093e-5,578,289.0,5ef5c11-dirty
0.0003,0.2,2,0.02,1,0.006820620014900135,0.006820620014900135,0.020069293204323824,538.2790137811421,0.00032680426,389,194.5,5ef5c11-dirty
0.01,0.1,2,0.0,3,0.09849819769750584,0.09849819769750584,0.19436271193692314,9.82220190704068,3.956093e-5,578,289.0,5ef5c11-dirty
0.0003,0.1,8,0.01,7,-0.047035628145852215,-0.04357528677168053,-0.047035628145852215,665.322573462193,5.042856e-5,1334,667.0,5ef5c11-dirty
0.03,0.05,2,0.0,6,0.6490061775934343,0.6490061775934343,0.8025441367262534,0.7649462982442525,0.000112622154,953,476.5,5ef5c11-dirty
0.001,0.2,2,0.02,1,0.006817778064076206,0.006817778064076206,0.020071872080088933,161.4835197294131,0.00032680426,389,194.5,5ef5c11-dirty
