arm,depth,seed,block_index,alpha
rezero_warm_g_aLR5,50,2,40,0.20019771
rezero_warm_g_aLR5,50,2,41,0.24683167
rezero_warm_g_aLR5,50,2,42,0.19304995
rezero_warm_g_aLR5,50,2,43,0.22434086
rezero_warm_g_aLR5,50,2,44,0.2752006
rezero_warm_g_aLR5,50,2,45,0.27878097
rezero_warm_g_aLR5,50,2,46,0.449286
rezero_warm_g_aLR5,50,2,47,0.4635749
rezero_warm_g_aLR5,50,2,48,0.73415583
rezero_warm_g_aLR5,50,2,49,0.70429707
rezero_warm_g_aLR5,50,2,50,1.0641608
